ГБОУ Школа № 109	2	49	1	1	0	117513, г. Москва, ул. Академика Бакулева, д. 20	co109.mskobr.ru	https://smapse.ru/storage/2020/12/converted/825_585_centr-obrazovania-no109-smapse.jpg	0	0	0	0	0	0	0	0	0	0	0	0
ГБОУ Школа № 199	1	52	0	1	0	117292, г. Москва, ул. Дмитрия Ульянова, д. 15, корп. 1	sch199uz.mskobr.ru	https://smapse.ru/storage/2020/12/shkola-no199-moscva-smapse4.jpg	0	0	0	0	0	0	0	0	0	0	1	0
ГБОУ Школа № 1508	1	56	0	1	0	105043, г. Москва, ул. Первомайская. д.65	gym1508.mskobr.ru	https://upload.wikimedia.org/wikipedia/commons/9/92/%D0%98%D0%B7%D0%BC%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F_%D0%B3%D0%B8%D0%BC%D0%BD%D0%B0%D0%B7%D0%B8%D1%8F_1508.jpg	0	0	0	0	0	0	0	0	0	1	0	0
ГБОУ Школа № 1500	1	59	1	0	0	107045, г. Москва, ул. Сретенка, д. 20	lycc1500.mskobr.ru	https://krasnoselsky.mos.ru/upload/medialibrary/991/shc21500.jpg	0	0	0	0	0	0	0	0	0	0	0	0
ГБОУ Школа №1564	1	65	0	1	0	125222, г. Москва, ул. Рословка, д. 8	lyc1564.mskobr.ru	https://obrazovanie.1c.ru/upload/medialibrary/314/314a516863e92905111c751736af0f86.jpg	0	0	0	0	0	0	0	0	0	1	1	0
ГБОУ Школа № 962	1	66	1	0	0	127562, г. Москва, ул. Санникова, д. 3 корп. 3	sch962sv.mskobr.ru	https://avatars.mds.yandex.net/get-altay/5104421/2a0000018166d57bf103247c0403f0dd0699/L_height	0	0	0	0	0	0	0	0	0	1	1	1
ГБОУ Школа № 1553 имени В.И.Вернадского	1	71	0	1	0	115114, г. Москва, ул. Дербеневская, д.13	lycu1553.mskobr.ru	https://smapse.ru/storage/2020/12/converted/825_585_licei-no1553-mosva-smapse3.jpg	0	0	0	0	0	0	0	0	0	1	0	0
ГБОУ Школа № 1506	1	75	0	1	0	127282, г. Москва, ул. Широкая, д. 1А	gym1506.mskobr.ru	https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Moscow%2C_Shirokaya_Street_1A%2C_Gymnasium_1506_01.JPG/640px-Moscow%2C_Shirokaya_Street_1A%2C_Gymnasium_1506_01.JPG	0	0	0	0	0	0	0	0	0	0	1	1
ГБОУ Школа № 2030	2	80	0	2	0	123100, г. Москва, 2-я Звенигородская ул., д.8	coc2030.mskobr.ru	https://smapse.ru/storage/2021/02/converted/825_585_2030-2.jpg	0	0	0	0	0	0	0	0	0	0	1	1
ГБОУ Школа №1520 имени Капцовых	1	83	0	1	1	125009, г. Москва, Переулок Леонтьевский, д. 19/2, стр.1	sch1520.mskobr.ru	https://um.mos.ru/upload/iblock/a80/%D0%BB%D0%B5%D0%BE%D0%BD%D1%82%D1%8C%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B919_6.jpg	1	0	0	0	0	0	0	0	0	1	0	0
